Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2009,"Toledo, OH",77695.72115384616,
2009,"Trenton, NJ",227370.25,
2009,"Tucson, AZ",165782.5294117647,
2009,"Tulsa, OK",116686.16346153847,
2009,United States,156572.82692307694,
2009,"Urban Honolulu, HI",457102.5096153846,
2009,"Virginia Beach, VA",207789.02884615384,
2009,"Visalia, CA",160039.0306122449,
2009,"Washington, DC",280703.4326923077,
2009,"Wilmington, NC",,
2009,"Winston, NC",122543.0,
2009,"Worcester, MA",189433.64423076922,
2009,"York, PA",151145.50485436892,
2009,"Youngstown, OH",66548.16346153847,
2010,"Akron, OH",96989.375,
2010,"Albany, NY",166605.24038461538,
2010,"Albuquerque, NM",173432.0576923077,
2010,"Allentown, PA",164482.06796116504,
2010,"Asheville, NC",181539.45098039217,
2010,"Atlanta, GA",119753.32692307692,
2010,"Augusta, GA",112414.7156862745,
2010,"Austin, TX",190700.6923076923,
2010,"Bakersfield, CA",123437.625,
2010,"Baltimore, MD",217573.9326923077,
2010,"Barnstable Town, MA",313012.7475728155,
2010,"Baton Rouge, LA",160346.22115384616,
2010,"Bend, OR",,
2010,"Birmingham, AL",141335.3076923077,
2010,"Boise City, ID",132008.72115384616,
2010,"Boston, MA",317152.96153846156,
2010,"Boulder, CO",325847.58653846156,
2010,"Bremerton, WA",243856.0,
2010,"Bridgeport, CT",429548.8846153846,
2010,"Buffalo, NY",115588.125,
2010,"Canton, OH",79081.79611650485,
2010,"Cape Coral, FL",90757.46153846153,
2010,"Cedar Rapids, IA",127550.96153846153,
2010,"Charleston, SC",197852.25961538462,
2010,"Charlotte, NC",147570.47115384616,
2010,"Chattanooga, TN",113467.93269230769,
2010,"Chicago, IL",185935.35576923078,
2010,"Cincinnati, OH",122317.94230769231,
2010,"Clarksville, TN",115673.02884615384,
2010,"Cleveland, OH",110176.58653846153,
2010,"Colorado Springs, CO",182620.125,
2010,"Columbia, MO",,
2010,"Columbia, SC",125555.61538461539,
2010,"Columbus, OH",121831.86538461539,
